問題ID,回数,検定回,実施日,級,問題番号,枝番,形式,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,正解本文,注意,出典,全文
R23-Q055,23,第23回,2026-03-08,1級・2級共通,55,,選択,手宮の鉄道施設建設を指導した平井晴二郎は手宮での経験を発展させ、現在も残る重要な建築物にも関わりました。次のなかで平井晴二郎が関わった建物は次のどれでしょうか。,豊平館,北海道庁旧本庁舎,サッポロビール博物館,旧永山武四郎邸,②,北海道庁旧本庁舎,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問55】
手宮の鉄道施設建設を指導した平井晴二郎は手宮での経験を発展させ、現在も残る重要な建築物にも関わりました。次のなかで平井晴二郎が関わった建物は次のどれでしょうか。
① 豊平館
② 北海道庁旧本庁舎
③ サッポロビール博物館
④ 旧永山武四郎邸
正解: ② 北海道庁旧本庁舎"
R23-Q056,23,第23回,2026-03-08,1級・2級共通,56,,選択,令和7(2025)年4月、旧日本郵船株式会社小樽支店が修復工事を終え再公開されました。次のなかで、この建物に関する説明で間違っているのはどれでしょうか。,この建物は木骨石造ではなく石造だ,この建物を設計したのは佐立七次郎だ,1階の貴賓室と2階の会議室の壁紙は金唐革紙という貴重な壁紙が採用されている,この建物が建築されたのは明治39(1906)年だ,③,1階の貴賓室と2階の会議室の壁紙は金唐革紙という貴重な壁紙が採用されている,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問56】
令和7(2025)年4月、旧日本郵船株式会社小樽支店が修復工事を終え再公開されました。次のなかで、この建物に関する説明で間違っているのはどれでしょうか。
① この建物は木骨石造ではなく石造だ
② この建物を設計したのは佐立七次郎だ
③ 1階の貴賓室と2階の会議室の壁紙は金唐革紙という貴重な壁紙が採用されている
④ この建物が建築されたのは明治39(1906)年だ
正解: ③ 1階の貴賓室と2階の会議室の壁紙は金唐革紙という貴重な壁紙が採用されている"
R23-Q057,23,第23回,2026-03-08,1級・2級共通,57,,選択,次の小樽市内にある建物の建築時名と現在名との組み合わせで間違っているのはどれでしょうか。,百十三銀行小樽支店……オルゴール堂海鳴楼,荒田商会……小樽芸術村ステンドグラス美術館,上勢友吉商店……小樽オルゴール堂遊工房,中越銀行小樽支店……銀の鐘,①,百十三銀行小樽支店……オルゴール堂海鳴楼,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問57】
次の小樽市内にある建物の建築時名と現在名との組み合わせで間違っているのはどれでしょうか。
① 百十三銀行小樽支店……オルゴール堂海鳴楼
② 荒田商会……小樽芸術村ステンドグラス美術館
③ 上勢友吉商店……小樽オルゴール堂遊工房
④ 中越銀行小樽支店……銀の鐘
正解: ① 百十三銀行小樽支店……オルゴール堂海鳴楼"
R23-Q058-A,23,第23回,2026-03-08,1級・2級共通,58,A,記述,北海製罐の工場施設の説明です。文中の（ ）内に該当する語句を書きなさい。主要な建物は鉄筋コンクリート造で、事務所は（A）の連続窓が特徴でモダンな外観を表現しています。また第3倉庫は外壁に（B）（渦巻き状滑り台）をつけ、製品を一気に船に積み込む工夫をしています。,,,,,横長,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問58A】
北海製罐の工場施設の説明です。文中の（ ）内に該当する語句を書きなさい。主要な建物は鉄筋コンクリート造で、事務所は（A）の連続窓が特徴でモダンな外観を表現しています。また第3倉庫は外壁に（B）（渦巻き状滑り台）をつけ、製品を一気に船に積み込む工夫をしています。
正解: 横長"
R23-Q058-B,23,第23回,2026-03-08,1級・2級共通,58,B,記述,北海製罐の工場施設の説明です。文中の（ ）内に該当する語句を書きなさい。主要な建物は鉄筋コンクリート造で、事務所は（A）の連続窓が特徴でモダンな外観を表現しています。また第3倉庫は外壁に（B）（渦巻き状滑り台）をつけ、製品を一気に船に積み込む工夫をしています。,,,,,スパイラルシュート,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問58B】
北海製罐の工場施設の説明です。文中の（ ）内に該当する語句を書きなさい。主要な建物は鉄筋コンクリート造で、事務所は（A）の連続窓が特徴でモダンな外観を表現しています。また第3倉庫は外壁に（B）（渦巻き状滑り台）をつけ、製品を一気に船に積み込む工夫をしています。
正解: スパイラルシュート"
R23-Q059,23,第23回,2026-03-08,1級・2級共通,59,,選択,次の3つは色内銀行街にある建物です。関連した語句の組み合わせで、番号内のA・B・Cすべて正しいものは何番でしょうか。（建物名は建築時）A)三菱銀行小樽支店 B)北海道拓殖銀行小樽支店 C)第一銀行小樽支店,A)大正11(1922)年建築 B)矢橋賢吉 C)ミユキソーイング,A)大正11(1922)年建築 B)日本遺産「炭鉄港」構成文化財 C)田辺淳吉,A)大正12(1923)年建築 B)似鳥美術館 C)渋沢栄一,A)大正13(1924)年建築 B)小林多喜二 C)アール・ヌーヴォー,①,A)大正11(1922)年建築 B)矢橋賢吉 C)ミユキソーイング,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問59】
次の3つは色内銀行街にある建物です。関連した語句の組み合わせで、番号内のA・B・Cすべて正しいものは何番でしょうか。（建物名は建築時）A)三菱銀行小樽支店 B)北海道拓殖銀行小樽支店 C)第一銀行小樽支店
① A)大正11(1922)年建築 B)矢橋賢吉 C)ミユキソーイング
② A)大正11(1922)年建築 B)日本遺産「炭鉄港」構成文化財 C)田辺淳吉
③ A)大正12(1923)年建築 B)似鳥美術館 C)渋沢栄一
④ A)大正13(1924)年建築 B)小林多喜二 C)アール・ヌーヴォー
正解: ① A)大正11(1922)年建築 B)矢橋賢吉 C)ミユキソーイング"
R23-Q060,23,第23回,2026-03-08,1級・2級共通,60,,選択,次の小樽市指定歴史的建造物のなかで、日本遺産「北前船」、「炭鉄港」の構成文化財となっていないのはどれでしょうか。（建物名は建築時）,増田倉庫,篠田倉庫,三井物産小樽支店,三菱銀行小樽支店,②,篠田倉庫,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問60】
次の小樽市指定歴史的建造物のなかで、日本遺産「北前船」、「炭鉄港」の構成文化財となっていないのはどれでしょうか。（建物名は建築時）
① 増田倉庫
② 篠田倉庫
③ 三井物産小樽支店
④ 三菱銀行小樽支店
正解: ② 篠田倉庫"
R23-Q061,23,第23回,2026-03-08,1級・2級共通,61,,選択,小樽の建造物と建築様式の関係の説明で、間違っているのは次のどれでしょうか。,小樽聖公会は軒の装飾にカーペンターゴシックを取りいれている,和光荘は幾何学模様のアール・デコのデザインを基調にしている,第一銀行は曲線を生かすアール・ヌーヴォーの影響を受けている,三井銀行の軒の装飾はゴシック様式のデザインで統一されている,④,三井銀行の軒の装飾はゴシック様式のデザインで統一されている,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問61】
小樽の建造物と建築様式の関係の説明で、間違っているのは次のどれでしょうか。
① 小樽聖公会は軒の装飾にカーペンターゴシックを取りいれている
② 和光荘は幾何学模様のアール・デコのデザインを基調にしている
③ 第一銀行は曲線を生かすアール・ヌーヴォーの影響を受けている
④ 三井銀行の軒の装飾はゴシック様式のデザインで統一されている
正解: ④ 三井銀行の軒の装飾はゴシック様式のデザインで統一されている"
R23-Q062,23,第23回,2026-03-08,1級・2級共通,62,,選択,次の建物のなかで建築構造が一つだけ違うものがあります。それはどれでしょうか。（建物名は現在名）,小樽バイン,小樽運河ターミナル,小樽市庁舎本館,おたる無尽ビル,①,小樽バイン,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問62】
次の建物のなかで建築構造が一つだけ違うものがあります。それはどれでしょうか。（建物名は現在名）
① 小樽バイン
② 小樽運河ターミナル
③ 小樽市庁舎本館
④ おたる無尽ビル
正解: ① 小樽バイン"
R23-Q063,23,第23回,2026-03-08,1級・2級共通,63,,選択,（ ）内に該当する語句は次のどれでしょうか。小樽の桜町ロータリーの一帯はイギリスのハワードに端を発する（ ）の計画思想に基づいて昭和9年に設計された町といわれています。,理想都市,丘陵都市,田園都市,未来都市,③,田園都市,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問63】
（ ）内に該当する語句は次のどれでしょうか。小樽の桜町ロータリーの一帯はイギリスのハワードに端を発する（ ）の計画思想に基づいて昭和9年に設計された町といわれています。
① 理想都市
② 丘陵都市
③ 田園都市
④ 未来都市
正解: ③ 田園都市"
R23-Q064,23,第23回,2026-03-08,1級・2級共通,64,,選択,小樽観光で人気の一つがオルゴールですが、その語源はオランダ語のオルゲルです。オルゴールが日本に入ってきた当時、オルゴールにあてた漢字は次のどれでしょうか。,自奏琴,自鳴琴,自奏鍵,自鳴鍵,②,自鳴琴,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問64】
小樽観光で人気の一つがオルゴールですが、その語源はオランダ語のオルゲルです。オルゴールが日本に入ってきた当時、オルゴールにあてた漢字は次のどれでしょうか。
① 自奏琴
② 自鳴琴
③ 自奏鍵
④ 自鳴鍵
正解: ② 自鳴琴"
R23-Q065,23,第23回,2026-03-08,1級・2級共通,65,,記述,木版画のパイオニアであった金子誠治は、小樽に移住後小樽市内の小学校の教員となります。その当時の小学校名は何というでしょうか。,,,,,緑小学校,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問65】
木版画のパイオニアであった金子誠治は、小樽に移住後小樽市内の小学校の教員となります。その当時の小学校名は何というでしょうか。
正解: 緑小学校"
R23-Q066,23,第23回,2026-03-08,1級・2級共通,66,,記述,市立小樽美術館には2つの記念ホールがあります。一つは日本を代表する版画家の一原有徳記念ホール。もう一つは日本を代表する風景画家の記念ホールです。この画家名を書きなさい。,,,,,中村善策,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問66】
市立小樽美術館には2つの記念ホールがあります。一つは日本を代表する版画家の一原有徳記念ホール。もう一つは日本を代表する風景画家の記念ホールです。この画家名を書きなさい。
正解: 中村善策"
R23-Q067,23,第23回,2026-03-08,1級・2級共通,67,,記述,次の文章に該当する歌人の名前を書きなさい。郷里の岩手を離れ小樽に来てから、創立したばかりの小樽日報社に入社し記者となりますが長続きせず小樽日報社を辞めてしまいます。その後、釧路新聞社に入社します。4ヶ月足らずの小樽時代でした。,,,,,石川啄木,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問67】
次の文章に該当する歌人の名前を書きなさい。郷里の岩手を離れ小樽に来てから、創立したばかりの小樽日報社に入社し記者となりますが長続きせず小樽日報社を辞めてしまいます。その後、釧路新聞社に入社します。4ヶ月足らずの小樽時代でした。
正解: 石川啄木"
R23-Q068,23,第23回,2026-03-08,1級・2級共通,68,,選択,伊藤整は小樽中学校卒業後、小樽高商へ進学。その後、小樽市中学校の教員となります。担当した教科は次のどれでしょうか。,英語教員,国語教員,数学教員,社会科教員,①,英語教員,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問68】
伊藤整は小樽中学校卒業後、小樽高商へ進学。その後、小樽市中学校の教員となります。担当した教科は次のどれでしょうか。
① 英語教員
② 国語教員
③ 数学教員
④ 社会科教員
正解: ① 英語教員"
R23-Q069,23,第23回,2026-03-08,1級・2級共通,69,,選択,石川啄木の文学碑は小樽市内に3か所あります。一つは小樽公園内、2つ目は水天宮境内、3つ目はどこでしょうか。次の中から選びなさい。,ゴロダの丘,旭展望台,小樽駅前三角市場,住吉神社境内,③,小樽駅前三角市場,正解は解答PDFのテキスト層から確定（③）,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問69】
石川啄木の文学碑は小樽市内に3か所あります。一つは小樽公園内、2つ目は水天宮境内、3つ目はどこでしょうか。次の中から選びなさい。
① ゴロダの丘
② 旭展望台
③ 小樽駅前三角市場
④ 住吉神社境内
正解: ③ 小樽駅前三角市場"
R23-Q070,23,第23回,2026-03-08,1級・2級共通,70,,選択,令和7(2025)年12月末現在の小樽市の人口は次のどれでしょうか。,"101,355人","102,355人","103,355人","104,355人",②,"102,355人",,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問70】
令和7(2025)年12月末現在の小樽市の人口は次のどれでしょうか。
① 101,355人
② 102,355人
③ 103,355人
④ 104,355人
正解: ② 102,355人"
R23-Q071,23,第23回,2026-03-08,1級・2級共通,71,,選択,令和7(2025)年度上期の小樽市の観光入込客数は、前年度比104.9%となり、8年ぶりに400万人を超えました。入込客数は次のどれでしょうか。,"413万4,100人","415万4,100人","417万4,100人","419万4,100人",①,"413万4,100人",,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問71】
令和7(2025)年度上期の小樽市の観光入込客数は、前年度比104.9%となり、8年ぶりに400万人を超えました。入込客数は次のどれでしょうか。
① 413万4,100人
② 415万4,100人
③ 417万4,100人
④ 419万4,100人
正解: ① 413万4,100人"
R23-Q072,23,第23回,2026-03-08,1級・2級共通,72,,記述,令和7(2025)年7月24日、小樽芸術村で5館目となる施設が「浅草橋小樽運河倉庫ビル」に開館しました。その施設名を書きなさい。,,,,,浮世絵美術館,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問72】
令和7(2025)年7月24日、小樽芸術村で5館目となる施設が「浅草橋小樽運河倉庫ビル」に開館しました。その施設名を書きなさい。
正解: 浮世絵美術館"
R23-Q073,23,第23回,2026-03-08,1級・2級共通,73,,記述,令和7(2025)年7月18日、『その街に集うすべての人にご満足いただける、その街のスタイルホテル』を基本コンセプトに小樽運河の近くにホテルがオープンしました。地上6階建て、客室は全159室で、最上階には石狩湾を一望できる展望露天風呂やBARも備わっています。このホテル名を書きなさい。,,,,,小樽グランベルホテル,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問73】
令和7(2025)年7月18日、『その街に集うすべての人にご満足いただける、その街のスタイルホテル』を基本コンセプトに小樽運河の近くにホテルがオープンしました。地上6階建て、客室は全159室で、最上階には石狩湾を一望できる展望露天風呂やBARも備わっています。このホテル名を書きなさい。
正解: 小樽グランベルホテル"
R23-Q074,23,第23回,2026-03-08,1級・2級共通,74,,選択,令和7(2025)年2月4日、小樽市は地域型日本遺産に認定されました。そのストーリーを語る上で欠かせない26項目の文化財があります。その20番目に「運河完成後の倉庫群」があり3棟の構成文化財があります。次の中でこの3棟に該当しないのはどれでしょうか。,澁澤倉庫,旧篠田倉庫,旧浪華倉庫,旧大家倉庫,④,旧大家倉庫,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問74】
令和7(2025)年2月4日、小樽市は地域型日本遺産に認定されました。そのストーリーを語る上で欠かせない26項目の文化財があります。その20番目に「運河完成後の倉庫群」があり3棟の構成文化財があります。次の中でこの3棟に該当しないのはどれでしょうか。
① 澁澤倉庫
② 旧篠田倉庫
③ 旧浪華倉庫
④ 旧大家倉庫
正解: ④ 旧大家倉庫"
R23-Q075,23,第23回,2026-03-08,1級・2級共通,75,,記述,民間シンクタンクのブランド総合研究所は令和7(2025)年10月に全国市区町村（1000市区町村）と都道府県の魅力度ランキングを発表しました。都道府県別は17年連続で北海道が1位。市区町村のベスト10には道内から小樽市も含め4自治体が入りました。小樽市は全体の何番目にランクされたでしょうか。,,,,,4位,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問75】
民間シンクタンクのブランド総合研究所は令和7(2025)年10月に全国市区町村（1000市区町村）と都道府県の魅力度ランキングを発表しました。都道府県別は17年連続で北海道が1位。市区町村のベスト10には道内から小樽市も含め4自治体が入りました。小樽市は全体の何番目にランクされたでしょうか。
正解: 4位"
R23-Q076,23,第23回,2026-03-08,1級・2級共通,76,,選択,令和7(2025)年も多くのクルーズ船が小樽港第3号埠頭へ寄港しました。寄港した実績数は次のどれでしょうか。,23回,25回,30回,33回,④,33回,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問76】
令和7(2025)年も多くのクルーズ船が小樽港第3号埠頭へ寄港しました。寄港した実績数は次のどれでしょうか。
① 23回
② 25回
③ 30回
④ 33回
正解: ④ 33回"
R23-Q077,23,第23回,2026-03-08,1級・2級共通,77,,選択,令和7(2025)年も小樽を含む石狩湾で上位蜃気楼の「高島おばけ」が発生しました。かつて北方探検家の松浦武四郎が小樽沖を航行中に見た蜃気楼のことで、松浦武四郎がまとめた日誌に記述されていました。その日誌名は次のどれでしょうか。,西蝦夷日誌,東蝦夷日誌,北夷分界余話,東蝦紀行,①,西蝦夷日誌,選択肢4の表記はOCR不鮮明,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問77】
令和7(2025)年も小樽を含む石狩湾で上位蜃気楼の「高島おばけ」が発生しました。かつて北方探検家の松浦武四郎が小樽沖を航行中に見た蜃気楼のことで、松浦武四郎がまとめた日誌に記述されていました。その日誌名は次のどれでしょうか。
① 西蝦夷日誌
② 東蝦夷日誌
③ 北夷分界余話
④ 東蝦紀行
正解: ① 西蝦夷日誌"
R23-Q078,23,第23回,2026-03-08,1級・2級共通,78,,記述,（ ）内に該当する数字を書きなさい。坂の多い小樽ですが、坂には勾配率を表す「%」の標識があります。例えば浄応寺の坂には20%の標識があります。これは水平距離（ ）メートルに対して垂直距離が20メートル上がることを表しています。,,,,,100,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問78】
（ ）内に該当する数字を書きなさい。坂の多い小樽ですが、坂には勾配率を表す「%」の標識があります。例えば浄応寺の坂には20%の標識があります。これは水平距離（ ）メートルに対して垂直距離が20メートル上がることを表しています。
正解: 100"
R23-Q079,23,第23回,2026-03-08,1級・2級共通,79,,選択,（ ）内に該当する語句を選びなさい。船見坂上方から小樽港方面を見ると良く晴れた日は対岸に（ ）が見えます。,樽前山,増毛連山,恵庭岳,余市岳,②,増毛連山,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問79】
（ ）内に該当する語句を選びなさい。船見坂上方から小樽港方面を見ると良く晴れた日は対岸に（ ）が見えます。
① 樽前山
② 増毛連山
③ 恵庭岳
④ 余市岳
正解: ② 増毛連山"
R23-Q080,23,第23回,2026-03-08,1級・2級共通,80,,選択,次の文章は、小樽八区八景の八区の中のある地区の解説です。該当する地区を選びなさい。山あいを抜ける農道沿いには、畑や果樹園が連なり、自然豊かな田園風景が広がっています。国道5号沿いの坂道には工場などがあり、両側の斜面には住宅が建ち並んでいます。,張碓地区,蘭島・忍路地区,オタモイ・赤岩地区,桃内・塩谷地区,④,桃内・塩谷地区,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問80】
次の文章は、小樽八区八景の八区の中のある地区の解説です。該当する地区を選びなさい。山あいを抜ける農道沿いには、畑や果樹園が連なり、自然豊かな田園風景が広がっています。国道5号沿いの坂道には工場などがあり、両側の斜面には住宅が建ち並んでいます。
① 張碓地区
② 蘭島・忍路地区
③ オタモイ・赤岩地区
④ 桃内・塩谷地区
正解: ④ 桃内・塩谷地区"
R23-Q081,23,第23回,2026-03-08,1級・2級共通,81,,選択,かつて小樽市内にはたくさんの市場がありましたが、年々減少し現在は5つとなりました。その5つとは次のどれでしょうか。,南樽市場・新南樽市場・三角市場・中央市場・中央卸市場,南樽市場・妙見市場・三角市場・中央市場・中央卸市場,南樽市場・新南樽市場・三角市場・中央市場・鱗友朝市,南樽市場・入船市場・三角市場・鱗友朝市・中央市場,③,南樽市場・新南樽市場・三角市場・中央市場・鱗友朝市,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問81】
かつて小樽市内にはたくさんの市場がありましたが、年々減少し現在は5つとなりました。その5つとは次のどれでしょうか。
① 南樽市場・新南樽市場・三角市場・中央市場・中央卸市場
② 南樽市場・妙見市場・三角市場・中央市場・中央卸市場
③ 南樽市場・新南樽市場・三角市場・中央市場・鱗友朝市
④ 南樽市場・入船市場・三角市場・鱗友朝市・中央市場
正解: ③ 南樽市場・新南樽市場・三角市場・中央市場・鱗友朝市"
R23-Q082,23,第23回,2026-03-08,1級・2級共通,82,,選択,第26回小樽市都市景観賞が令和7(2025)年11月に発表され小樽市都市景観賞3件・小樽市都市景観奨励賞1件が決定しました。次の中で第26回の受賞物件ではないのはどれでしょうか。,小樽港観光船ターミナル,小樽住ノ江火の見櫓とまもる会の活動,群青,住吉神社参道等の整備,④,住吉神社参道等の整備,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問82】
第26回小樽市都市景観賞が令和7(2025)年11月に発表され小樽市都市景観賞3件・小樽市都市景観奨励賞1件が決定しました。次の中で第26回の受賞物件ではないのはどれでしょうか。
① 小樽港観光船ターミナル
② 小樽住ノ江火の見櫓とまもる会の活動
③ 群青
④ 住吉神社参道等の整備
正解: ④ 住吉神社参道等の整備"
R23-Q083,23,第23回,2026-03-08,1級・2級共通,83,,選択,小樽の田中酒造は市内唯一の酒造会社です。色内町の本店と信香町の店舗・工場の2カ所あり、信香町の店舗・工場は旧岡崎倉庫を再生活用しています。この信香町の建物は何という名称でしょうか。次の中から選びなさい。,信香蔵,岡崎蔵,宝川蔵,亀甲蔵,④,亀甲蔵,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問83】
小樽の田中酒造は市内唯一の酒造会社です。色内町の本店と信香町の店舗・工場の2カ所あり、信香町の店舗・工場は旧岡崎倉庫を再生活用しています。この信香町の建物は何という名称でしょうか。次の中から選びなさい。
① 信香蔵
② 岡崎蔵
③ 宝川蔵
④ 亀甲蔵
正解: ④ 亀甲蔵"
R23-Q084,23,第23回,2026-03-08,1級・2級共通,84,,選択,小樽市内の神社、寺と関わりのある事柄の組合せで間違っているのは、次のどれでしょうか。,龍宮神社 - 榎本武揚,直行寺 - 石橋彦三郎,塩谷神社 - 船絵馬,住吉神社 - 北前船主の大鳥居,②,直行寺 - 石橋彦三郎,選択肢2の寺名はOCR不鮮明,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問84】
小樽市内の神社、寺と関わりのある事柄の組合せで間違っているのは、次のどれでしょうか。
① 龍宮神社 - 榎本武揚
② 直行寺 - 石橋彦三郎
③ 塩谷神社 - 船絵馬
④ 住吉神社 - 北前船主の大鳥居
正解: ② 直行寺 - 石橋彦三郎"
R23-Q085,23,第23回,2026-03-08,1級・2級共通,85,,選択,（ ）内に該当するものを選びなさい。令和7(2025)年10月24日、国の文化審議会において、小樽市にある（ ）を重要文化財にするよう、文部科学大臣へ答申があり、令和8(2026)年1月15日、官報告示をもって正式決定となりました。,日本銀行旧小樽支店,小樽市公会堂,小樽港防波堤施設,日和山灯台,③,小樽港防波堤施設,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問85】
（ ）内に該当するものを選びなさい。令和7(2025)年10月24日、国の文化審議会において、小樽市にある（ ）を重要文化財にするよう、文部科学大臣へ答申があり、令和8(2026)年1月15日、官報告示をもって正式決定となりました。
① 日本銀行旧小樽支店
② 小樽市公会堂
③ 小樽港防波堤施設
④ 日和山灯台
正解: ③ 小樽港防波堤施設"
R23-Q086,23,第23回,2026-03-08,1級・2級共通,86,,選択,小樽の教育は明治6(1873)年、開運町に小樽教育所開設で始まりました。この場所には以前は「小樽教育発祥之地」という石碑がありましたが、現在は題字部分だけを再利用した新記念碑が設置されています。その場所は次のどれでしょうか。,住吉神社敷地内,小樽市立病院敷地内,双葉高等学校敷地内,潮見台小学校敷地内,②,小樽市立病院敷地内,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問86】
小樽の教育は明治6(1873)年、開運町に小樽教育所開設で始まりました。この場所には以前は「小樽教育発祥之地」という石碑がありましたが、現在は題字部分だけを再利用した新記念碑が設置されています。その場所は次のどれでしょうか。
① 住吉神社敷地内
② 小樽市立病院敷地内
③ 双葉高等学校敷地内
④ 潮見台小学校敷地内
正解: ② 小樽市立病院敷地内"
R23-Q087,23,第23回,2026-03-08,1級・2級共通,87,,選択,後志地域には20の自治体があります。そのうち、海に面していないのは次のどれでしょうか。,共和町,島牧村,寿都町,黒松内町,④,黒松内町,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問87】
後志地域には20の自治体があります。そのうち、海に面していないのは次のどれでしょうか。
① 共和町
② 島牧村
③ 寿都町
④ 黒松内町
正解: ④ 黒松内町"
R23-Q088,23,第23回,2026-03-08,1級・2級共通,88,,選択,国登録有形文化財のJR小樽駅は、明治36(1903)年に「小樽中央停車場」として開業して以来、たびたび駅名が変更され、大正9(1920)年に「小樽駅」となります。現在の駅舎は開業以来、何代目となる建物でしょうか。,2代目,3代目,4代目,5代目,②,3代目,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問88】
国登録有形文化財のJR小樽駅は、明治36(1903)年に「小樽中央停車場」として開業して以来、たびたび駅名が変更され、大正9(1920)年に「小樽駅」となります。現在の駅舎は開業以来、何代目となる建物でしょうか。
① 2代目
② 3代目
③ 4代目
④ 5代目
正解: ② 3代目"
R23-Q089,23,第23回,2026-03-08,1級・2級共通,89,,選択,市指定有形文化財の日本銀行旧小樽支店の説明で間違っているのは次のどれでしょうか。,日本銀行の派出所が小樽に初めて設置されたのは明治26(1893)年だ,建物の設計をしたのは辰野金吾、長野宇平治、岡田信一郎の3名だ,金融資料館として公開されたのは、平成15(2003)年からだ,この建物は明治42(1909)年に着工し、完成したのは明治44(1911)年だ,④,この建物は明治42(1909)年に着工し、完成したのは明治44(1911)年だ,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問89】
市指定有形文化財の日本銀行旧小樽支店の説明で間違っているのは次のどれでしょうか。
① 日本銀行の派出所が小樽に初めて設置されたのは明治26(1893)年だ
② 建物の設計をしたのは辰野金吾、長野宇平治、岡田信一郎の3名だ
③ 金融資料館として公開されたのは、平成15(2003)年からだ
④ この建物は明治42(1909)年に着工し、完成したのは明治44(1911)年だ
正解: ④ この建物は明治42(1909)年に着工し、完成したのは明治44(1911)年だ"
R23-Q090,23,第23回,2026-03-08,1級・2級共通,90,,選択,次の小樽市内の文化財と指定区分の組み合わせが正しいのはどれでしょうか。,西川家文書……道指定有形文化財,旧青山家別邸……国登録有形文化財,高島越後盆踊りの行事……道指定無形民俗文化財,向井流水泳……道指定無形文化財,②,旧青山家別邸……国登録有形文化財,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問90】
次の小樽市内の文化財と指定区分の組み合わせが正しいのはどれでしょうか。
① 西川家文書……道指定有形文化財
② 旧青山家別邸……国登録有形文化財
③ 高島越後盆踊りの行事……道指定無形民俗文化財
④ 向井流水泳……道指定無形文化財
正解: ② 旧青山家別邸……国登録有形文化財"
R23-Q091,23,第23回,2026-03-08,1級・2級共通,91,,選択,道指定有形文化財の木造五百羅漢像のあるお寺の名前は次のどれでしょうか。,龍徳寺,正法寺,浅草観音寺,宗園寺,④,宗園寺,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問91】
道指定有形文化財の木造五百羅漢像のあるお寺の名前は次のどれでしょうか。
① 龍徳寺
② 正法寺
③ 浅草観音寺
④ 宗園寺
正解: ④ 宗園寺"
R23-Q092,23,第23回,2026-03-08,1級・2級共通,92,,選択,観光ガイドとして、お客様をご案内するとき、相手を尊重する心のあり方として一番気を付けたいのは次のどれでしょうか。,相手の立場や時間の都合を考える,事前に用意した話はすべて話す,必ず買い物の時間を入れる,絶対に方言は使わない,①,相手の立場や時間の都合を考える,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問92】
観光ガイドとして、お客様をご案内するとき、相手を尊重する心のあり方として一番気を付けたいのは次のどれでしょうか。
① 相手の立場や時間の都合を考える
② 事前に用意した話はすべて話す
③ 必ず買い物の時間を入れる
④ 絶対に方言は使わない
正解: ① 相手の立場や時間の都合を考える"
